y,Company,ReviewDate,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
1.5,338.0,2011.0,67.0,56.0,8.0,23.0
3.5,14.0,2007.0,70.0,29.0,11.0,60.0
2.5,253.0,2012.0,65.0,9.0,12.0,9.0
3.5,189.0,2014.0,70.0,56.0,11.0,37.0
3.25,285.0,2014.0,80.0,54.0,3.0,63.0
3.0,387.0,2016.0,70.0,56.0,12.0,16.0
4.0,40.0,2006.0,75.0,18.0,11.0,37.0
3.75,112.0,2012.0,70.0,22.0,11.0,37.0
2.75,363.0,2012.0,70.0,56.0,12.0,3.0
3.0,271.0,2012.0,70.0,56.0,12.0,67.0
3.25,167.0,2011.0,61.0,56.0,12.0,63.0
3.0,337.0,2016.0,70.0,2.0,11.0,68.0
3.0,26.0,2017.0,73.0,55.0,12.0,38.0
4.0,40.0,2011.0,75.0,18.0,6.0,37.0
2.75,74.0,2010.0,55.0,14.0,8.0,19.0
3.25,133.0,2016.0,70.0,7.0,12.0,9.0
2.5,143.0,2011.0,55.0,56.0,11.0,60.0
3.25,155.0,2011.0,72.0,56.0,12.0,18.0
3.5,397.0,2016.0,70.0,3.0,6.0,37.0
3.25,391.0,2009.0,72.0,55.0,11.0,67.0
2.75,117.0,2008.0,80.0,56.0,12.0,3.0
3.0,40.0,2009.0,75.0,18.0,12.0,33.0
3.0,156.0,2015.0,60.0,12.0,12.0,41.0
2.75,30.0,2016.0,83.0,19.0,11.0,2.0
3.25,259.0,2015.0,70.0,14.0,12.0,19.0
3.25,305.0,2013.0,80.0,6.0,12.0,4.0
3.25,121.0,2013.0,70.0,56.0,12.0,19.0
3.5,155.0,2011.0,70.0,56.0,11.0,34.0
3.75,289.0,2014.0,70.0,7.0,11.0,60.0
3.75,318.0,2013.0,75.0,56.0,11.0,34.0
3.0,167.0,2009.0,55.0,56.0,12.0,29.0
4.0,247.0,2006.0,64.0,18.0,12.0,45.0
3.5,326.0,2006.0,70.0,56.0,3.0,63.0
3.25,381.0,2009.0,64.0,32.0,11.0,37.0
2.75,186.0,2015.0,70.0,56.0,12.0,18.0
2.5,105.0,2014.0,70.0,2.0,8.0,45.0
4.0,297.0,2007.0,70.0,4.0,3.0,67.0
2.5,17.0,2014.0,72.0,18.0,12.0,40.0
3.5,397.0,2016.0,78.0,3.0,11.0,60.0
3.0,174.0,2014.0,67.0,56.0,2.0,3.0
3.0,391.0,2014.0,88.0,55.0,11.0,9.0
3.75,20.0,2011.0,72.0,56.0,11.0,57.0
3.0,305.0,2012.0,60.0,6.0,12.0,4.0
3.75,111.0,2016.0,70.0,56.0,12.0,63.0
4.0,343.0,2011.0,64.0,7.0,12.0,46.0
3.25,156.0,2013.0,70.0,12.0,12.0,41.0
