y,Company,ReviewDate,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
3.0,137.0,2009.0,70.0,57.0,11.0,67.0
2.75,173.0,2016.0,64.0,19.0,12.0,46.0
3.5,177.0,2009.0,70.0,28.0,12.0,46.0
3.0,278.0,2014.0,70.0,36.0,12.0,45.0
2.5,9.0,2016.0,60.0,56.0,12.0,46.0
3.5,343.0,2016.0,70.0,7.0,11.0,37.0
2.0,248.0,2012.0,75.0,56.0,6.0,3.0
3.75,364.0,2015.0,70.0,56.0,11.0,27.0
3.25,176.0,2009.0,58.0,14.0,8.0,19.0
3.25,54.0,2014.0,70.0,9.0,12.0,9.0
3.25,360.0,2015.0,62.0,30.0,12.0,45.0
3.25,155.0,2011.0,76.0,56.0,11.0,67.0
2.75,303.0,2014.0,75.0,55.0,11.0,67.0
2.75,70.0,2014.0,70.0,56.0,12.0,67.0
3.75,56.0,2012.0,72.0,56.0,6.0,18.0
3.5,291.0,2014.0,65.0,56.0,12.0,53.0
3.5,313.0,2007.0,67.0,14.0,8.0,19.0
4.0,337.0,2015.0,72.0,2.0,12.0,19.0
3.5,345.0,2017.0,75.0,7.0,12.0,67.0
3.75,86.0,2015.0,80.0,0.0,6.0,46.0
3.25,161.0,2016.0,77.0,56.0,12.0,27.0
3.0,381.0,2009.0,70.0,32.0,11.0,37.0
2.5,192.0,2012.0,64.0,19.0,12.0,46.0
3.75,326.0,2009.0,72.0,56.0,11.0,68.0
3.75,379.0,2009.0,66.0,18.0,12.0,19.0
3.25,289.0,2015.0,70.0,7.0,11.0,60.0
3.0,309.0,2010.0,75.0,15.0,8.0,19.0
3.25,328.0,2015.0,72.0,56.0,11.0,34.0
3.25,90.0,2010.0,71.0,50.0,6.0,40.0
3.0,281.0,2010.0,72.0,56.0,12.0,18.0
3.5,153.0,2014.0,65.0,4.0,11.0,37.0
3.5,307.0,2011.0,85.0,56.0,12.0,18.0
3.0,113.0,2015.0,70.0,56.0,11.0,37.0
3.0,217.0,2010.0,58.0,9.0,12.0,9.0
3.25,9.0,2013.0,60.0,56.0,12.0,46.0
3.25,156.0,2012.0,70.0,12.0,6.0,30.0
3.25,18.0,2016.0,70.0,56.0,12.0,21.0
3.5,53.0,2016.0,65.0,18.0,11.0,28.0
3.0,231.0,2015.0,72.0,56.0,12.0,57.0
1.5,248.0,2012.0,65.0,56.0,12.0,63.0
3.25,205.0,2011.0,60.0,14.0,12.0,19.0
3.25,59.0,2014.0,74.0,57.0,12.0,67.0
2.5,202.0,2016.0,70.0,30.0,11.0,46.0
3.5,155.0,2014.0,70.0,56.0,8.0,46.0
2.75,293.0,2013.0,70.0,39.0,12.0,46.0
3.5,210.0,2014.0,71.0,17.0,6.0,37.0
3.5,289.0,2014.0,75.0,7.0,3.0,60.0
4.0,127.0,2015.0,70.0,55.0,6.0,27.0
4.0,288.0,2012.0,70.0,14.0,12.0,46.0
3.0,118.0,2007.0,71.0,56.0,12.0,19.0
4.0,57.0,2009.0,70.0,50.0,6.0,40.0
2.5,288.0,2008.0,60.0,14.0,8.0,19.0
3.25,379.0,2011.0,56.0,18.0,12.0,63.0
3.25,180.0,2013.0,70.0,7.0,11.0,67.0
3.25,201.0,2010.0,75.0,56.0,11.0,25.0
3.0,112.0,2009.0,75.0,22.0,6.0,27.0
3.75,136.0,2011.0,75.0,5.0,12.0,3.0
3.0,111.0,2015.0,70.0,56.0,11.0,2.0
3.75,125.0,2012.0,70.0,29.0,6.0,67.0
2.0,363.0,2012.0,70.0,56.0,12.0,46.0
3.75,391.0,2010.0,69.0,55.0,12.0,32.0
3.0,0.0,2015.0,70.0,18.0,12.0,59.0
3.0,141.0,2014.0,80.0,18.0,11.0,68.0
2.75,379.0,2007.0,71.0,18.0,8.0,69.0
2.75,42.0,2014.0,70.0,56.0,11.0,2.0
3.5,103.0,2012.0,70.0,19.0,11.0,37.0
3.25,299.0,2015.0,80.0,56.0,12.0,41.0
